"0 - too guessable: risky password.
1 - very guessable: protection from throttled online attacks.
2 - somewhat guessable: protection from unthrottled online attacks.
3 - safely unguessable: moderate protection from offline slow-hash scenario.
4 - very unguessable: strong protection from offline slow-hash scenario.","0 – занадто легко вгадується: ризикований пароль.
1 – дуже легко вгадується: захист від обмежених онлайн-атак.
2 – частково легко вгадується: захист від необмежених онлайн-атак.
3 – безпечно не вгадується: помірний захист від сценарію повільного хешування офлайн.
4 – дуже важко вгадується: сильний захист від сценарію повільного хешування офлайн.",
0 is highest,0 є найвищим,
0-30 Days,0-30 днів,
01-Sales Return,01-Повернення продажів,
02-Post Sale Discount,Знижка на продаж після 02,
03-Deficiency in services,03-Дефіцит послуг,
04-Correction in Invoice,04-Виправлення у рахунку-фактурі,
05-Change in POS,05-Зміна POS,
06-Finalization of Provisional assessment,06-Завершення попередньої оцінки,
07-Others,07-Інші,
1 - very guessable: protection from throttled online attacks.,1 — легко вгадати: захист лише від обмежених онлайн-атак,
1 Currency = [?] Fraction\nFor e.g. 1 USD = 100 Cent,"1 Валюта = [?] Частка. Наприклад, 1 ГРН = 100 копійок",
1 Day,1 день,
1 Filter Applied,Застосовано 1 фільтр,
1 Google Calendar Event synced.,Синхронізовано 1 подію Google Календар.,
1 Loyalty Points = How much base currency?,1 бал лояльності = Скільки базової валюти?,
1 Report,1 Звіт,
1 comment,1 коментар,
1 exact match.,1 точна відповідність.,
1 hour,1 година,
1 hour ago,1 годину тому,
1 hr,1 год.,
1 minute ago,1 хвилину тому,
1 month ago,1 місяць тому,
1 record will be exported,Буде експортовано 1 запис,
1 week ago,1 тиждень тому,
1 year ago,1 рік тому,
194A,194А,
194J,194 Дж,
2 - somewhat guessable: protection from unthrottled online attacks.,2 — помірно вгадуваний: захист від необмежених онлайн-атак,
2 Yearly,2 Річні,
3 - safely unguessable: moderate protection from offline slow-hash scenario.,3 — важко вгадати: помірний захист від офлайн-атак,
3 Yearly,3 Річні,
30 - 60 Days,30 - 60 днів,
30 mins,30 хв,
30 minutes,30 хвилин,
30-60 Days,30-60 днів,
4 - very unguessable: strong protection from offline slow-hash scenario.,4 — дуже важко вгадати: сильний захист від офлайн-атак,
4 hours,4 години,
5 Records,5 Записи,
6 hrs,6 годин,
60 - 90 Days,60 - 90 днів,
60-90 Days,60-90 днів,
90 - 120 Days,90 - 120 днів,
90 Above,90 Вище,
90-Above,Понад 90,
; not allowed in condition,; не допускаються в умові,
<b>Company</b> is a mandatory filter.,<b>Компанія</b> - обов&#39;язковий фільтр.,
<b>From Date</b> is a mandatory filter.,<b>From Date</b> - обов&#39;язковий фільтр.,
<b>From Time</b> cannot be later than <b>To Time</b> for {0},<b>Час від часу</b> не може бути пізнішим за <b>час</b> до {0},
"<b>Single</b>: Results which require only a single input.\n<br>\n<b>Compound</b>: Results which require multiple event inputs.\n<br>\n<b>Descriptive</b>: Tests which have multiple result components with manual result entry.\n<br>\n<b>Grouped</b>: Test templates which are a group of other test templates.\n<br>\n<b>No Result</b>: Tests with no results, can be ordered and billed but no Lab Test will be created. e.g.. Sub Tests for Grouped results","<b>Одиночний</b> : результати, які вимагають лише одного введення.<br> <b>Складене</b> : результати, які потребують декількох введених подій.<br> <b>Описовий</b> : Тести, які мають кілька компонентів результату з ручним введенням результату.<br> <b>Згруповано</b> : Тестові шаблони, які є групою інших тестових шаблонів.<br> <b>Без результату</b> : Тести без результатів можна замовити та оплатити, але лабораторний тест не буде створений. напр. Підтести для згрупованих результатів",
<b>To Date</b> is a mandatory filter.,<b>На</b> сьогоднішній день є обов’язковим фільтром.,
"<h4>Default Template</h4>\n<p>Uses <a href=""http://jinja.pocoo.org/docs/templates/"">Jinja Templating</a> and all the fields of Address (including Custom Fields if any) will be available</p>\n<pre><code>{{ address_line1 }}&lt;br&gt;\n{% if address_line2 %}{{ address_line2 }}&lt;br&gt;{% endif -%}\n{{ city }}&lt;br&gt;\n{% if state %}{{ state }}&lt;br&gt;{% endif -%}\n{% if pincode %} PIN:  {{ pincode }}&lt;br&gt;{% endif -%}\n{{ country }}&lt;br&gt;\n{% if phone %}Phone: {{ phone }}&lt;br&gt;{% endif -%}\n{% if fax %}Fax: {{ fax }}&lt;br&gt;{% endif -%}\n{% if email_id %}Email: {{ email_id }}&lt;br&gt;{% endif -%}\n</code></pre>","<h4> Шаблон за замовчуванням </h4><p> Використовує <a href=""http://jinja.pocoo.org/docs/templates/"">дзіндзя темплатним</a> і всі поля Адреса (включаючи Настроювані поля якщо такі є) будуть доступні </p><pre> <code>{{ address_line1 }}&lt;br&gt; {% if address_line2 %}{{ address_line2 }}&lt;br&gt;{% endif -%} {{ city }}&lt;br&gt; {% if state %}{{ state }}&lt;br&gt;{% endif -%} {% if pincode %} PIN: {{ pincode }}&lt;br&gt;{% endif -%} {{ country }}&lt;br&gt; {% if phone %}Phone: {{ phone }}&lt;br&gt;{% endif -%} {% if fax %}Fax: {{ fax }}&lt;br&gt;{% endif -%} {% if email_id %}Email: {{ email_id }}&lt;br&gt;{% endif -%}</code> </pre>",
"<p>Set context before rendering a template. Example:</p><p>\n</p><div><pre><code>\ncontext.project = frappe.get_doc(""Project"", frappe.form_dict.name)\n</code></pre></div>","<p>Встановіть контекст перед візуалізацією шаблону. Приклад:</p><p></p><div><pre> <code>context.project = frappe.get_doc(&quot;Project&quot;, frappe.form_dict.name)</code></pre></div>",
A - B,А - Б,
A - C,А - С,
A BOM with name {0} already exists for item {1}.,Специфікація з назвою {0} вже існує для елемента {1}.,
A Customer Group exists with same name please change the Customer name or rename the Customer Group,"Група клієнтів існує з такою ж назвою, будь ласка, змініть ім’я клієнта або перейменуйте групу клієнтів",
A Default Service Level Agreement already exists.,Угода про рівень обслуговування за замовчуванням вже існує.,
A Distributed Cost Center cannot be added in the Distributed Cost Center allocation table.,Розподілене місце витрат не можна додати до таблиці розподілу розподілених витрат.,
A Holiday List can be added to exclude counting these days for the Workstation.,"Список святкових днів можна додати, щоб виключити врахування цих днів для робочої станції.",
A Lead requires either a person's name or an organization's name,Для потенційного клієнта потрібно вказати ім’я особи або назву організації,
A Lead with this Email Address should exist,Провід з цим Адресою електронної пошти повинні існувати,
A Negative,Негативний,
A Packing Slip can only be created for Draft Delivery Note.,Пакувальну накладну можна створити лише для чернетки накладної.,
A Positive,Позитивний,
"A Price List is a collection of Item Prices either Selling, Buying, or both","Прайс-лист – це набір цін на товари, що продаються, купуються або обидва.",
"A Product or a Service that is bought, sold or kept in stock.","Товар або послуга, які купуються, продаються або зберігаються на складі.",
A Reconciliation Job {0} is running for the same filters. Cannot reconcile now,Завдання узгодження {0} виконується для тих самих фільтрів. Узгодження зараз неможливо.,
A Reverse Journal Entry {0} already exists for this Journal Entry.,Для цього запису в журналі вже існує зворотний запис {0}.,
A condition for a Shipping Rule,Умова для правила доставки,
A customer is already linked to this Member,Клієнт вже пов&#39;язаний з цим Учасником,
A customer must have primary contact email.,Клієнт повинен мати основну контактну електронну адресу.,
A customer with the same name already exists,Клієнт з тим самим ім&#39;ям вже існує,
A driver must be set to submit.,Водій має бути налаштований на надсилання.,
A featured post must have a cover image,Рекомендована публікація повинна мати зображення обкладинки,
A field with the name '{}' already exists in doctype {}.,Поле з назвою &quot;{}&quot; вже існує в doctype {}.,
A link to all the Locations in which the Crop is growing,"Посилання на всі Місця, в яких зростає культура",
A list of resources which the Client App will have access to after the user allows it.<br> e.g. project,"Список ресурсів, які Клієнт App матиме доступ до після того, як користувач дозволяє. <br> наприклад, проект",
A log of request errors,Журнал помилок запитів,
A logical Warehouse against which stock entries are made.,"Логічний склад, для якого здійснюються записи на склад.",
A naming series conflict occurred while creating serial numbers. Please change the naming series for the item {0}.,"Під час створення серійних номерів виник конфлікт іменування. Будь ласка, змініть іменування для елемента {0}.",
A new account has been created for you at {0},Нову обліковку було створено для вас в {0},
A new appointment has been created for you with {0},Для вас створено нову зустріч із {0},
A new fiscal year has been automatically created.,Новий фінансовий рік було створено автоматично.,
A question must have more than one options,Питання повинно мати кілька варіантів,
A qustion must have at least one correct options,Зіткнення має мати принаймні один правильний варіант,
A recurring {0} {1} has been created for you via Auto Repeat {2}.,Для вас було створено повторний {0} {1} через Автоповтор {2}.,
A symbol for this currency. For e.g. $,"Символ цієї валюти. Наприклад, ₴",
A template with tax category {0} already exists. Only one template is allowed with each tax category,Шаблон з податковою категорією {0} вже існує. Дозволено лише один шаблон для кожної податкової категорії.,
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,"Сторонній дистриб’ютор / дилер / комісіонер / афілійована особа / реселер, який продає продукцію компанії за комісію.",
A user who posts blogs.,"Користувач, який публікує блоги.",
A word by itself is easy to guess.,Слово саме по собі неважко здогадатися.,
A+,А+,
A-,А-,
AB+,АБ+,
ACC-PINV-RET-.YYYY.-,ACC-PINV-RET-.РРРР.-,
ACC-PSINV-.YYYY.-,ACC-PSINV-.РРРР.-,
ACC-SINV-RET-.YYYY.-,ACC-SINV-RET-.РРРР.-,
ALL,ВСІ,
ALL records will be deleted (entire DocType cleared),ВСІ записи будуть видалені (весь DocType очищено),
AMC Expiry (Serial),Закінчення терміну дії AMC (серійний номер),
AMC Expiry Date,Дата закінчення терміну дії AMC,
AP Summary,Зведення AP,
API Access,Доступ до API,
API Details,Деталі API,
API Endpoint,Кінцева точка API,
API Endpoint Args,API кінцевої точки Args,
API Key,ключ API,
API Key cannot be  regenerated,API-ключ не може бути регенерований,
API Key of the user(Event Subscriber) on the producer site,Ключ API користувача (передплатник події) на сайті виробника,
API Method,Метод API,
API Password,API Пароль,
API Secret,API Секретний,
API Secret Key,Секретний ключ API,
API Secret of the user(Event Subscriber) on the producer site,API Секрет користувача (передплатник події) на сайті виробника,
API Username,API Ім&#39;я користувача,
API consumer key,Споживчий ключ API,
API consumer secret,API споживчої таємниці,
AR Summary,Підсумок доповненої реальності,
AWB Number,Номер AWB,
AWS Access Key ID,Ідентифікатор ключа доступу AWS,
Abampere,Абампере,
Abbr,Абрев.,
Abbr can not be blank or space,Абревіатура не може бути пропущена або заповнена пробілами,
Abbreviation,Абревіатура,
Abbreviation already used for another company,Абревіатура вже використовується для іншої компанії,
Abbreviation cannot have more than 5 characters,"Скорочення не може мати більше, ніж 5 символів",
Abbreviation is mandatory,Абревіатура обов’язкова,
Abbreviation: {0} must appear only once,Абревіатура: {0} має зустрічатися лише один раз,
Abdomen,Живіт,
About,Про систему,
"About Product Bundle

Aggregate group of Items into another Item. This is useful if you are bundling a certain Items into a package and you maintain stock of the packed Items and not the aggregate Item.
The package Item will have Is Stock Item as No and Is Sales Item as Yes.
Example:
If you are selling Laptops and Backpacks separately and have a special price if the customer buys both, then the Laptop + Backpack will be a new Product Bundle Item.","<h3>Про пакет продуктів</h3><p> Об’єднати групу <b>товарів</b> в інший <b>товар</b> .
			Це корисно, якщо ви об’єднуєте певні <b>товари</b> в пакет і підтримуєте запас упакованих <b>товарів</b> , а не сукупних <b>товарів</b> .</p><p> <b>Для елемента</b> пакета <code>Is Stock Item</code> буде визначено як <b>""Ні""</b> , а <code>Is Sales Item</code> – як <b>""Так""</b> .</p><h4> Приклад:</h4><p> Якщо ви продаєте ноутбуки та рюкзаки окремо та пропонуєте спеціальну ціну для покупців обох товарів, тоді ноутбук + рюкзак буде новим товарним набором.</p>",
About Us Settings,"Налаштування ""Про нас""",
About Us Team Member,Про нас Команда Член,
About the Company,Про компанію,
About your company,Про вашу компанію,
About {0} minute remaining,Залишилося приблизно {0} хвилини,
About {0} minutes remaining,Залишилося приблизно {0} хвилин,
About {0} seconds remaining,Залишилося приблизно {0} секунд,
Above,Вище,
Above 120 Days,Понад 120 днів,
Absent Student Report,Відсутня Student Report,
Academic,академічний,
Academic Term,Академічний термін,
Academic Term and Program,Академічний термін і програма,
Academic Term: ,Академічний термін:,
Academic Year,Навчальний рік,
Academic Year Name,Назва Академічний рік,
Academic Year: ,Навчальний рік:,
Academics User,Академічний користувач,
Accept Payment,приймати Оплата,
Acceptance Criteria,Критерії приймання,
Acceptance Criteria Formula,Формула критеріїв прийнятності,
Acceptance Criteria Value,Значення критеріїв прийнятності,
Accepted,Прийняті,
Accepted + Rejected Qty must be equal to Received quantity for Item {0},Прийнята+Відхилена к-сть має дорівнювати кількостіЮ що надійшла для позиції {0},
Accepted Qty,Прийнята кількість,
Accepted Qty as per Stock UOM,Кількість приймається відповідно до запасу UOM,
Accepted Qty in Stock UOM,Прийнята кількість на складі Одиниця виміру,
Accepted Quantity,Прийнята кількість,
Accepted Warehouse,Прийнятий склад,
Access Key,Ключ доступу,
Access Key ID,Ідентифікатор ключа доступу,
Access Key Secret,Ключовий секрет доступу,
Access Key is required for Service Provider: {0},Ключ доступу потрібен для постачальника послуг: {0},
Access Log,Журнал доступу,
Access Token,Маркер доступу,
Access Token Secret,Доступ до секретного маркера,
Access Token URL,URL Токена доступу,
Access not allowed from this IP Address,Доступ заборонено з цієї IP-адреси,
Accessable Value,Доступна цінність,
According to CEFACT/ICG/2010/IC013 or CEFACT/ICG/2010/IC010,Згідно з CEFACT/ICG/2010/IC013 або CEFACT/ICG/2010/IC010,
"According to the BOM {0}, the Item '{1}' is missing in the stock entry.","Згідно зі специфікацією {0}, елемент ’{1}’ відсутній у складському записі.",
Account,Рахунок,
Account Balance,Баланс рахунку,
Account Balance Processing Error,Помилка обробки залишку на рахунку,
Account Category,Категорія облікового запису,
Account Category Name,Назва категорії облікового запису,
Account Closing Balance,Заключний баланс рахунку,
Account Currency,Валюта рахунку,
Account Currency (From),Валюта рахунку (від),
Account Currency (To),Валюта рахунку (до),
Account Data,Дані облікового запису,
Account Detail Level,Рівень деталізації облікового запису,
Account Details,Дані облікового запису,
Account Head,Керівник відділу облікового запису,
Account Manager,Менеджер облікового запису,
Account Missing,Відсутній обліковий запис,
Account Name,Ім’я облікового запису,
Account Not Found,Обліковий запис не знайдено,
Account Number,Номер рахунку,
Account Number Settings,"<label class=""control-label"" style=""margin-bottom: 0px;"">Налаштування номера облікового запису</label>",
Account Number {0} already used in account {1},Номер рахунку {0} вже використовується в обліковому записі {1},
Account Opening Balance,Початковий баланс рахунку,
Account Paid From,"Рахунок, з якого сплачено",
Account Paid To,"Рахунок, на який сплачено",
Account Pay Only,Тільки оплата рахунку,
Account SID,SID рахунку,
Account Subtype,Підтип облікового запису,
Account Type,Тип облікового запису,
Account Type for {0} must be {1},Тип рахунку для {0} повинен бути {1},
Account Value,Вартість облікового запису,
"Account balance already in Credit, you are not allowed to set 'Balance Must Be' as 'Debit'","Баланс рахунку вже в кредиті, вам не дозволено встановлювати для параметра ""Баланс має бути"" значення ""Дебет""",
"Account balance already in Debit, you are not allowed to set 'Balance Must Be' as 'Credit'","Баланс рахунку вже дебетовий, вам не дозволено встановлювати ""Баланс має бути"" як ""Кредит""",
Account for Change Amount,Рахунок для суми змін,
Account is mandatory,Обов’язковий обліковий запис,
Account is mandatory to get payment entries,Для отримання платіжних записів обов’язковий обліковий запис,
Account is not set for the dashboard chart {0},Обліковий запис не налаштовано для діаграми панелі інструментів {0},
Account not Found,Обліковий запис не знайдено,
Account number for account {0} is not available.<br> Please setup your Chart of Accounts correctly.,"Номер рахунку для облікового запису {0} недоступний. <br> Будь ласка, правильно налаштуйте свою схему рахунків.",
Account with child nodes cannot be converted to ledger,Обліковий запис з дочірніми вузлами не можна перетворити на реєстр,
Account with child nodes cannot be set as ledger,Обліковий запис з дочірніми вузлами не можна встановити як реєстр,
Account with existing transaction can not be converted to group.,Рахунок з існуючою транзакцією не може бути перетворений на груповий.,
Account with existing transaction can not be deleted,Обліковий запис з існуючою транзакцією не може бути видалений,
Account with existing transaction cannot be converted to ledger,Рахунок з існуючою транзакцією не може бути перетворений на головну книгу,
Account {0} added multiple times,Обліковий запис {0} додано кілька разів,
Account {0} cannot be converted to Group as it is already set as {1} for {2}.,"Обліковий запис {0} неможливо перетворити на груповий, оскільки він уже налаштований як {1} для {2}.",
Account {0} cannot be disabled as it is already set as {1} for {2}.,"Обліковий запис {0} неможливо вимкнути, оскільки він уже налаштований як {1} для {2}.",
Account {0} does not belong to company {1},Обліковий запис {0} не належить компанії {1},
Account {0} does not belong to company: {1},Обліковий запис {0} не належить компанії: {1},
Account {0} does not belongs to company {1},Рахунок {0} не належить компанії {1},
Account {0} does not exist,Обліковий запис {0} не існує,
Account {0} does not exists,Обліковий запис {0} не існує,
Account {0} does not exists in the dashboard chart {1},Обліковий запис {0} відсутній у діаграмі панелі інструментів {1},
Account {0} does not match with Company {1} in Mode of Account: {2},Рахунок {0} не збігається з компанією {1} у режимі облікового запису: {2},
Account {0} doesn't belong to Company {1},Обліковий запис {0} не належить компанії {1},
Account {0} exists in parent company {1}.,Обліковий запис {0} існує в материнській компанії {1}.,
Account {0} has been entered multiple times,Рахунок {0} був введений кілька разів,
Account {0} is added in the child company {1},Обліковий запис {0} додано до дочірньої компанії {1},
Account {0} is disabled.,Обліковий запис {0} вимкнено.,
Account {0} is frozen,Обліковий запис {0} заблоковано,
Account {0} is invalid. Account Currency must be {1},Рахунок {0} недійсний. Валюта рахунку має бути {1},
Account {0} should be of type Expense,"Рахунок {0} має бути типу ""Витрати""",
Account {0}: Parent account {1} can not be a ledger,Рахунок {0}: Батьківський рахунок {1} не може бути головною книгою,
Account {0}: Parent account {1} does not belong to company: {2},Обліковий запис {0}: Батьківський обліковий запис {1} не належить компанії: {2},
Account {0}: Parent account {1} does not exist,Обліковий запис {0}: Батьківський обліковий запис {1} не існує,
Account {0}: You can not assign itself as parent account,Обліковий запис {0}: Ви не можете призначити себе батьківським обліковим записом,
Account: <b>{0}</b> is capital Work in progress and can not be updated by Journal Entry,"Рахунок: <b>{0}</b> - це капітал Незавершене виробництво, і його не можна оновлювати в журналі",
Account: {0} can only be updated via Stock Transactions,Рахунок: {0} можна оновити лише через операції з акціями,
Account: {0} is capital Work in progress and can not be updated by Journal Entry,"Рахунок: <b>{0} –</b> це капітальний рахунок, що знаходиться в процесі виробництва, і його не можна оновити за допомогою журнального запису",
Account: {0} is not permitted under Payment Entry,Рахунок: {0} не дозволено використовувати для введення платежу,
Account: {0} with currency: {1} can not be selected,Рахунок: {0} з валютою: {1} не може бути вибрано,
Accountant,Бухгалтер,
Accounting,Бухгалтерський облік,
Accounting Details,Бухгалтерські деталі,
Accounting Dimension,Бухгалтерський вимір,
Accounting Dimension <b>{0}</b> is required for 'Balance Sheet' account {1}.,Параметр обліку <b>{0}</b> необхідний для рахунку &quot;Баланс&quot; {1}.,
Accounting Dimension <b>{0}</b> is required for 'Profit and Loss' account {1}.,Параметр обліку <b>{0}</b> необхідний для рахунку &quot;Прибуток і збиток&quot; {1}.,
Accounting Dimension Detail,Деталі облікового виміру,
Accounting Dimension Filter,Фільтр облікових вимірів,
