"Add Template","Додати шаблон",""
"Add a Row","Додати рядок",""
"Add field","Додати поле",""
"Add multiple","Додати кілька",""
"Add new tab","Додати нову вкладку",""
"Add page break","Додати розрив сторінки",""
"Add section above","Додати розділ вище",""
"Add section below","Додати розділ нижче",""
"Add tab","Додати вкладку",""
"Add to Desktop","Додати на робочий стіл",""
"Add/Update Filter","Додати або оновити фільтр",""
"All Results","Усі результати",""
"All Submissions","Усі подання",""
"Allow comments","Дозволити коментарі",""
"Allow delete","Дозволити видалення",""
"Allow print","Дозволити друк",""
"Amount in Minor Units (kopecks)","Сума в копійках",""
"Amount must be > 0","Сума має бути більшою за 0",""
"Amount must be a valid monetary value","Сума має бути коректним грошовим значенням",""
"An enabled ocStore export requires at least one enabled warehouse","Для увімкненого експорту ocStore потрібен щонайменше один активний склад",""
"Announcement Widget","Віджет оголошень",""
"Announcements","Оголошення",""
"Another Rozetka Delivery operation already exists for this Sales Invoice: {0}","Для цього рахунку-фактури продажу вже існує інша операція Rozetka Delivery: {0}",""
"Apartment","Квартира",""
"Apps","Застосунки",""
"Are you sure you want to discard the changes?","Ви впевнені, що хочете відхилити зміни?",""
"Are you sure you want to proceed?","Ви впевнені, що хочете продовжити?",""
"Assign a user","Призначити користувача",""
"At least one column is required to show in the grid.","Для відображення в таблиці потрібен принаймні один стовпець.",""
"Attach Files","Прикріпити файли",""
"Authorized Rozetka Delivery sender profile cannot be resolved","Не вдалося визначити авторизований профіль відправника Rozetka Delivery",""
"Auto Import","Автоматичний імпорт",""
"Auto-create Payment Entry","Автоматично створювати платіж",""
"Awaiting status synchronization","Очікується синхронізація статусу",""
"Back","Назад",""
"Background Jobs Check","Перевірка фонових завдань",""
"Backups (MB)","Резервні копії (МБ)",""
"Banking & Payments","Банки та платежі",""
"Base Path","Базовий шлях",""
"Base Path cannot traverse directories","Базовий шлях не може виходити за межі каталогу",""
"Base Path must be normalized","Базовий шлях має бути нормалізований",""
"Binary Logging","Бінарне журналювання",""
"Birthday Greeting Log","Журнал привітань із днем народження",""
"Boolean shipment parameter is invalid","Некоректний логічний параметр відправлення",""
"Bot token","Токен бота",""
"Bot username","Ім’я користувача бота",""
"Both from_ts and to_ts must be provided together","Параметри from_ts і to_ts потрібно передавати разом",""
"Browser Notifications Enabled","Сповіщення браузера увімкнено",""
"Browser notifications are blocked. Allow them in the browser site settings.","Сповіщення браузера заблоковані. Дозвольте їх у налаштуваннях сайту в браузері.",""
"Browser notifications are enabled","Сповіщення браузера увімкнено",""
"Browser notifications are not supported by this browser.","Цей браузер не підтримує системні сповіщення.",""
"Bufferpool Size","Розмір буферного пулу",""
"COD amount cannot exceed the insured value","Сума післяплати не може перевищувати оголошену вартість",""
"CSV delimiter must be one printable character","Розділювач CSV має бути одним друкованим символом",""
"Cache","Кеш",""
"Call ID","Ідентифікатор дзвінка",""
"Call verification number is required","Потрібен номер для перевірочного дзвінка",""
"Carrier ID","Ідентифікатор перевізника",""
"Carrier ID must be a valid UUID","Ідентифікатор перевізника має бути коректним UUID",""
"Catalog","Каталог",""
"Catalog Transport","Транспорт каталогу",""
"Catalog XML Profile","XML-профіль каталогу",""
"Channel Name","Назва каналу",""
"Channel Payment Type","Спосіб оплати каналу",""
"Channel Payment Type is required","Потрібно вказати спосіб оплати каналу",""
"Channel Status","Статус каналу",""
"Channel Status is required","Потрібно вказати статус каналу",""
"Channel and External ID are required","Потрібно вказати канал і зовнішній ідентифікатор",""
"Channels","Канали",""
"City ID","Ідентифікатор міста",""
"Code Hash","Хеш коду",""
"Communications","Комунікації",""
"Communications & Customers","Комунікації та покупці",""
"Completed At","Завершено о",""
"Configure at least one File Delivery Endpoint","Налаштуйте щонайменше одну адресу доставки файлів",""
"Connection successful","З’єднання успішне",""
"Contact Ref","Ідентифікатор контакту",""
"Content Language","Мова вмісту",""
"Counterparty Token","Токен контрагента",""
"Create SO+SI+Payment","Створити замовлення, рахунок і платіж",""
"Create Telegram Notification","Створити Telegram-сповіщення",""
"Customer Birthday Greeting Log","Журнал привітань покупців із днем народження",""
"Customer Identification","Ідентифікація покупця",""
"Customer Identification Request","Запит ідентифікації покупця",""
"Customer Identification Requests","Запити ідентифікації покупця",""
"Customer Identification Settings","Налаштування каналів ідентифікації",""
"Customer Mapping","Зіставлення покупців",""
"Customers Transport","Транспорт покупців",""
"Database","База даних",""
"Database Version","Версія бази даних",""
"Days Back","Кількість попередніх днів",""
"Default Extension","Типовий внутрішній номер",""
"Default Settlement Ref","Типовий ідентифікатор населеного пункту",""
"Default Warehouse Ref","Типовий ідентифікатор відділення",""
"Delete Demo Data","Видалити демонстраційні дані",""
"Delimiter","Розділювач",""
"Delivery payer must be sender or receiver","Платником за доставку має бути відправник або одержувач",""
"Department ID","Ідентифікатор відділення",""
"Destination phone","Телефон одержувача",""
"Dialer IDs must be positive integers","Ідентифікатори автодозвону мають бути додатними цілими числами",""
"Dialer number","Номер автодозвону",""
"Dialer timeout must be between 1 and 300 seconds","Тайм-аут автодозвону має бути від 1 до 300 секунд",""
"Document Structure","Структура документа",""
"Dormant","Призупинено через неактивність",""
"Duration (sec)","Тривалість (с)",""
"E-commerce","Електронна комерція",""
"ERP Action","Дія в ERP",""
"ERP Bank Account","Банківський рахунок ERP",""
"ERP Bank Account belongs to a different company","Банківський рахунок ERP належить іншій компанії",""
"ERP Bank Account does not exist: {0}","Банківський рахунок ERP не існує: {0}",""
"ERP Bank Account must be linked to a ledger account with a currency","Банківський рахунок ERP має бути пов’язаний із бухгалтерським рахунком, для якого задано валюту",""
"ERP Field","Поле ERP",""
"ERP Field and External Field are required","Потрібно вказати поле ERP і зовнішнє поле",""
"ERP fields must be unique within an ecommerce layout","Поля ERP у макеті електронної комерції не мають повторюватися",""
"ERPNext Configuration","Налаштування ERPNext",""
"ERPNext Status","Статус ERPNext",""
"Ecommerce Channel","Канал електронної комерції",""
"Ecommerce Channels","Канали електронної комерції",""
"Ecommerce Customer Mapping","Зіставлення покупців електронної комерції",""
"Ecommerce File Exchange","Файловий обмін електронної комерції",""
"Ecommerce File Field","Поле файла електронної комерції",""
"Ecommerce File Layout","Макет файла електронної комерції",""
"Ecommerce File Layouts","Макети файлів електронної комерції",""
"Ecommerce Item Mapping","Зіставлення товарів електронної комерції",""
"Ecommerce Item Mappings","Зіставлення товарів електронної комерції",""
"Ecommerce Order Status Map","Зіставлення статусів замовлень електронної комерції",""
"Ecommerce Payment Route","Маршрут оплати електронної комерції",""
"Ecommerce Reserve Until","Резерв електронної комерції до",""
"Ecommerce Status","Статус електронної комерції",""
"Ecommerce Sync Entity Config","Налаштування синхронізації сутності електронної комерції",""
"Ecommerce Sync Log","Журнал синхронізації електронної комерції",""
"Ecommerce Sync Log is append-only","Журнал синхронізації електронної комерції доступний лише для додавання",""
"Ecommerce Sync Logs","Журнали синхронізації електронної комерції",""
"Ecommerce Warehouse Sync","Синхронізація складу електронної комерції",""
"Ecommerce file layout requires at least one field","Макет файла електронної комерції має містити принаймні одне поле",""
"Ecommerce layout format must be CSV, XML or YML","Формат макета електронної комерції має бути CSV, XML або YML",""
"Ecommerce sync counters cannot be negative","Лічильники синхронізації електронної комерції не можуть бути від’ємними",""
"Ecommerce transform is not registered: {0}","Перетворення електронної комерції не зареєстроване: {0}",""
"Emails","Електронна пошта",""
"Enable Browser Notifications","Увімкнути сповіщення браузера",""
"Enable at least one ocStore export entity (Products, Prices, Stock or Photos), save the settings and try again.","Увімкніть щонайменше одну сутність експорту ocStore (Товари, Ціни, Залишки або Фото), збережіть налаштування та повторіть спробу.",""
"Enable the ocStore Orders import entity with the File method, save the settings and try again.","Увімкніть сутність імпорту замовлень ocStore з методом File, збережіть налаштування та повторіть спробу.",""
"Enabled File synchronization requires a format and layout","Для увімкненої файлової синхронізації потрібні формат і макет",""
"Enabled LiqPay profile not found","Увімкнений профіль LiqPay не знайдено",""
"Enabled LiqPay profile requires public/private keys and Server URL","Для увімкненого профілю LiqPay потрібні публічний і приватний ключі та URL-адреса сервера",""
"Enabled LiqPay profile {0} requires public/private keys and Server URL","Для увімкненого профілю LiqPay {0} потрібні публічний і приватний ключі та URL-адреса сервера",""
"Enabled LiqPay profiles must use unique public keys","Увімкнені профілі LiqPay мають використовувати унікальні публічні ключі",""
"Enabled Monobank profile not found","Увімкнений профіль monobank не знайдено",""
"Enabled Monobank profile requires a token","Для увімкненого профілю monobank потрібен токен",""
"Enabled Monobank profile {0} requires a token","Для увімкненого профілю monobank {0} потрібен токен",""
"Enabled PrivatBank profile not found","Увімкнений профіль ПриватБанку не знайдено",""
"Enabled PrivatBank profile requires a token","Для увімкненого профілю ПриватБанку потрібен токен",""
"Enabled PrivatBank profile {0} requires a token","Для увімкненого профілю ПриватБанку {0} потрібен токен",""
"Enabled TurboSMS integration requires a token","Для увімкненої інтеграції TurboSMS потрібен токен",""
"Enabled VitalPBX integration requires a webhook key","Для увімкненої інтеграції VitalPBX потрібен ключ webhook",""
"Enabled VitalPBX integration requires an API key","Для увімкненої інтеграції VitalPBX потрібен ключ API",""
"Enabled ocStore entities require File / XML synchronization","Для активних сутностей ocStore потрібна синхронізація File / XML",""
"Enabled ocStore file synchronization requires an Exchange FTP Profile","Для активної файлової синхронізації ocStore потрібен FTP-профіль обміну",""
"Enabled ocStore order import requires at least one status mapping","Для активного імпорту замовлень ocStore потрібне щонайменше одне зіставлення статусу",""
"Enabled ocStore photo export requires a Photo FTP Profile and URL Prefix","Для активного експорту фото ocStore потрібні FTP-профіль фото та префікс URL",""
"Endpoint Name","Назва кінцевої точки",""
"Error Trace","Трасування помилки",""
"Errors","Помилки",""
"Exchange FTP Profile","FTP-профіль обміну",""
"Exchange File","Файл обміну",""
"Export All Enabled Items","Експортувати всі активні товари",""
"Export File Prefix","Префікс файлів експорту",""
"Export Hash State","Стан хешів експорту",""
"Export Hash State contains an invalid payload hash","Стан хешів експорту містить некоректний хеш даних",""
"Export Hash State must be valid JSON","Стан хешів експорту має бути коректним JSON",""
"Export Only Mapped Items","Експортувати лише зіставлені товари",""
"Export XML Now","Експортувати XML зараз",""
"Exported {0} records","Експортовано записів: {0}",""
"Extension","Внутрішній номер",""
"Extension is required","Потрібен внутрішній номер",""
"External Customer ID","Зовнішній ідентифікатор покупця",""
"External Field","Зовнішнє поле",""
"External ID","Зовнішній ідентифікатор",""
"External ID is required for successful resolution","Для успішного завершення потрібен зовнішній ідентифікатор",""
"External Reference","Зовнішнє посилання",""
"External SKU","Зовнішній артикул",""
"External Status","Зовнішній статус",""
"External Status ID","Ідентифікатор зовнішнього статусу",""
"External Warehouse ID","Ідентифікатор зовнішнього складу",""
"External fields must be unique within an ecommerce layout","Зовнішні поля в макеті електронної комерції не мають повторюватися",""
"FTP/FTPS endpoint requires a password","Для кінцевої точки FTP/FTPS потрібен пароль",""
"Failed Emails","Листи з помилкою",""
"Failed Jobs","Невдалі завдання",""
"Failed Logins (Last 30 days)","Невдалі входи (останні 30 днів)",""
"Failing Scheduled Jobs (last 7 days)","Проблемні завдання планувальника (останні 7 днів)",""
"Failure Rate","Частка помилок",""
"File Delivery Endpoint","Кінцева точка доставки файлів",""
"File Delivery Endpoints","Кінцеві точки доставки файлів",""
"File Exchange","Файловий обмін",""
"File Fields","Поля файла",""
"File Format","Формат файла",""
"File Layout","Макет файла",""
"File Layouts","Макети файлів",""
"File Storage","Файлове сховище",""
"File delivery username is required","Потрібно вказати ім’я користувача доставки файлів",""
"File layout format does not match the synchronization format","Формат макета файла не відповідає формату синхронізації",""
"Framework","Платформа Frappe",""
"Frappe Support","Підтримка Frappe",""
"Gateway API Key","Ключ API шлюзу",""
"Generate Catalog File","Створити файл каталогу",""
"Generate Prices and Stock File","Створити файл цін і залишків",""
"Group Client ID (id)","Ідентифікатор клієнта групи (id)",""
"Handled Emails","Оброблені листи",""
"House Number","Номер будинку",""
"Hunter Integration Log","Журнал інтеграцій HUNTER",""
"Idempotency key is required","Потрібен ключ ідемпотентності",""
"Idempotency key is too long","Ключ ідемпотентності задовгий",""
"Idempotency key was already used for a different request","Цей ключ ідемпотентності вже використано для іншого запиту",""
"Identification Channel Settings","Налаштування каналів ідентифікації",""
"Import Orders Now","Імпортувати замовлення зараз",""
"Incoming Emails (Last 7 days)","Вхідні листи (останні 7 днів)",""
"Initial Sync Days","Днів початкової синхронізації",""
"Integration","Інтеграція",""
"Integration Log","Журнал інтеграцій",""
"Integration Operations","Операції інтеграцій",""
"Interval Minutes","Інтервал у хвилинах",""
"Invalid Monobank statement time range","Некоректний часовий діапазон виписки monobank",""
"Invalid Rozetka Delivery track ID","Некоректний ідентифікатор відправлення Rozetka Delivery",""
"Invalid Ukrposhta delivery type","Некоректний тип доставки Укрпошти",""
"Invalid Ukrposhta onFailReceiveType","Некоректне значення onFailReceiveType Укрпошти",""
"Invalid boolean value","Некоректне логічне значення",""
"Item Element","Елемент товару",""
"Item Mapping","Зіставлення товарів",""
"Item Mappings","Зіставлення товарів",""
"Last 10 active users","Останні 10 активних користувачів",""
"Last Catalog Sync","Остання синхронізація каталогу",""
"Last Customers Sync","Остання синхронізація покупців",""
"Last Export","Останній експорт",""
"Last Export Hash","Хеш останнього експорту",""
"Last Export Hash must be a lowercase SHA-256 value","Хеш останнього експорту має бути значенням SHA-256 у нижньому регістрі",""
"Last Order Import","Останній імпорт замовлень",""
"Last Order Status Sync","Остання синхронізація статусів замовлень",""
"Last Orders Sync","Остання синхронізація замовлень",""
"Last Run","Останній запуск",""
"Last Stock Sync","Остання синхронізація залишків",""
"Last Synced At","Час останньої синхронізації",""
"Layout Name","Назва макета",""
"Legacy Enabled","Увімкнено у старій версії",""
"Legacy External Mapping Key","Старий ключ зовнішнього зіставлення",""
"Legacy External SKU","Старий зовнішній артикул",""
"Legacy Mapping Key","Старий ключ зіставлення",""
"Legacy Migration","Міграція старих даних",""
"LiqPay API version must be 3 or 7","Версія API LiqPay має бути 3 або 7",""
"LiqPay Bank Account belongs to a different company","Банківський рахунок LiqPay належить іншій компанії",""
"LiqPay ERP Bank Account belongs to a different company","Банківський рахунок ERP для LiqPay належить іншій компанії",""
"LiqPay Profile","Профіль LiqPay",""
"LiqPay Profiles","Профілі LiqPay",""
"LiqPay Result URL must match the selected server-side profile","URL-адреса результату LiqPay має відповідати вибраному серверному профілю",""
"LiqPay Server URL must match the selected server-side profile","URL-адреса сервера LiqPay має відповідати вибраному серверному профілю",""
"LiqPay Settings","Налаштування LiqPay",""
"LiqPay auto reconciliation requires Company, Bank Account and Mode of Payment","Для автоматичної звірки LiqPay потрібні компанія, банківський рахунок і спосіб оплати",""
"LiqPay checkout currently supports only UAH Sales Invoices","Оплата LiqPay наразі підтримує лише рахунки-фактури продажу в гривні",""
"LiqPay credentials are not configured","Облікові дані LiqPay не налаштовано",""
"LiqPay integration is disabled","Інтеграцію LiqPay вимкнено",""
"LiqPay profile {0}: auto reconciliation requires Bank Account, Mode of Payment and Company","Профіль LiqPay {0}: для автоматичної звірки потрібні банківський рахунок, спосіб оплати та компанія",""
"LiqPay server callback URL is required","Потрібна серверна callback URL-адреса LiqPay",""
"MariaDB Variables","Змінні MariaDB",""
"Maximum Order Files Per Run","Максимум файлів замовлень за запуск",""
"Memory Usage","Використання пам’яті",""
"Migration Source","Джерело міграції",""
"Monitoring","Моніторинг",""
"Monobank Bank Account belongs to a different company","Банківський рахунок monobank належить іншій компанії",""
"Monobank ERP Bank Account belongs to a different company","Банківський рахунок ERP для monobank належить іншій компанії",""
"Monobank Profile","Профіль monobank",""
"Monobank Profiles","Профілі monobank",""
"Monobank Settings","Налаштування monobank",""
"Monobank Settings not found","Налаштування monobank не знайдено",""
"Monobank account ID is invalid","Некоректний ідентифікатор рахунку monobank",""
"Monobank auto import days must be between 1 and 31","Кількість днів автоматичного імпорту monobank має бути від 1 до 31",""
"Monobank auto import requires Account, ERP Bank Account and Company","Для автоматичного імпорту monobank потрібні рахунок, банківський рахунок ERP і компанія",""
"Monobank auto-import days must be between 1 and 31","Кількість днів автоматичного імпорту monobank має бути від 1 до 31",""
"Monobank integration is disabled","Інтеграцію monobank вимкнено",""
"Monobank profile not found","Профіль monobank не знайдено",""
"Monobank profile requires Company and ERP Bank Account","Для профілю monobank потрібні компанія та банківський рахунок ERP",""
"Monobank profile {0}: auto import requires Account, Bank Account and Company","Профіль monobank {0}: для автоматичного імпорту потрібні рахунок, банківський рахунок і компанія",""
"Monobank statement end time cannot be in the future","Час завершення виписки monobank не може бути в майбутньому",""
"Monobank statement range cannot exceed 31 days","Діапазон виписки monobank не може перевищувати 31 день",""
"Multi-parcel Rozetka Delivery shipments are not supported","Відправлення Rozetka Delivery з кількох місць не підтримуються",""
"Multi-parcel Ukrposhta shipments are not supported by this endpoint","Цей endpoint не підтримує відправлення Укрпошти з кількох місць",""
"My Workspaces","Мої робочі простори",""
"NP Sender Branch Row","Відділення відправника Нової пошти",""
"NP Sender Profile","Профіль відправника Нової пошти",""
"New ERPNext notification","Нове сповіщення ERPNext",""
"New Users (Last 30 days)","Нові користувачі (останні 30 днів)",""
"No active Rozetka Delivery sender profile is configured","Не налаштовано активного профілю відправника Rozetka Delivery",""
"Nova Poshta","Нова пошта",""
"Nova Poshta API Key","Ключ API Нової пошти",""
"Nova Poshta API key is not configured for the selected sender profile","Для вибраного профілю відправника не налаштовано ключ API Нової пошти",""
"Nova Poshta Sender Profiles","Профілі відправника Нової пошти",""
"Nova Poshta label exceeds the configured size limit","Етикетка Нової пошти перевищує налаштований ліміт розміру",""
"Nova Poshta label request failed with HTTP {0}","Запит етикетки Нової пошти завершився помилкою HTTP {0}",""
"Nova Poshta returned an invalid label document","Нова пошта повернула некоректний документ етикетки",""
"Nova Poshta returned an invalid label size","Нова пошта повернула некоректний розмір етикетки",""
"Nova Poshta sender profile is incomplete","Профіль відправника Нової пошти заповнено не повністю",""
"Nova Poshta sender profile not found or inactive: {0}","Профіль відправника Нової пошти не знайдено або він неактивний: {0}",""
"Number is required","Потрібен номер",""
"Number of keys","Кількість ключів",""
"Number of onsite backups","Кількість локальних резервних копій",""
"OcStore Settings","Налаштування ocStore",""
"Occurrences","Кількість випадків",""
"Oldest Unscheduled Job","Найстаріше невиконане заплановане завдання",""
"Only one active default TurboSMS sender is allowed","Дозволено лише одного активного типового відправника TurboSMS",""
"Only one default Nova Poshta profile is allowed","Дозволено лише один типовий профіль Нової пошти",""
"Only one default Rozetka Delivery profile is allowed","Дозволено лише один типовий профіль Rozetka Delivery",""
"Only one default Ukrposhta profile is allowed","Дозволено лише один типовий профіль Укрпошти",""
"Only one default sender branch is allowed","Дозволено лише одне типове відділення відправника",""
"Operation Type","Тип операції",""
"Operation already exists with status {0}; reconcile it before retrying","Операція вже існує зі статусом {0}; звірте її перед повторною спробою",""
"Operation does not belong to Rozetka Delivery","Операція не належить Rozetka Delivery",""
"Operation not found","Операцію не знайдено",""
"Operation status cannot be manually resolved: {0}","Статус операції не можна змінити вручну: {0}",""
"Operations & Monitoring","Операції та моніторинг",""
"Optional UUID returned by /api/carrier. Leave empty for Rozetka Delivery departments.","Необов’язковий UUID із /api/carrier. Для відділень Rozetka Delivery залиште порожнім.",""
"Order Status Map","Зіставлення статусів замовлень",""
"Order Status Mapping","Зіставлення статусів замовлень",""
"Order Status Transport","Транспорт статусів замовлень",""
"Order XML Profile","XML-профіль замовлень",""
"Order statuses must be unique within an ocStore instance","Статуси замовлень мають бути унікальними в межах екземпляра ocStore",""
"Orders File Prefix","Префікс файлів замовлень",""
"Orders Maximum Pages","Максимум сторінок замовлень",""
"Orders Overlap (minutes)","Перекриття замовлень (хвилини)",""
"Orders Page Size","Розмір сторінки замовлень",""
"Orders Transport","Транспорт замовлень",""
"Outgoing Emails (Last 7 days)","Вихідні листи (останні 7 днів)",""
"POS Administrator","Адміністратор POS",""
"POS Manager","Менеджер POS",""
"Paid To Account","Рахунок зарахування",""
"Paid To Account must be a ledger account","Рахунок зарахування має бути бухгалтерським рахунком",""
"Partial","Частково",""
"Passive Mode","Пасивний режим",""
"Payload Reference","Посилання на дані",""
"Payload Reference must be a path or document name, not a URL","Посилання на дані має бути шляхом або назвою документа, а не URL-адресою",""
"Payment Routes","Маршрути платежів",""
"Payment Routing","Маршрутизація платежів",""
"Payment amount exceeds invoice outstanding amount","Сума платежу перевищує несплачений залишок рахунку-фактури",""
"Payment routes must be unique within an ocStore instance","Маршрути платежів мають бути унікальними в межах екземпляра ocStore",""
"Pending Emails","Листи в очікуванні",""
"Pending Jobs","Завдання в очікуванні",""
"Photo FTP Profile","FTP-профіль фото",""
"Photo URL Prefix","Префікс URL фото",""
"Photos","Фотографії",""
"Polling","Опитування",""
"Popup Enabled","Спливне вікно увімкнено",""
"Port must be between 1 and 65535","Порт має бути в межах від 1 до 65535",""
"Postcode","Поштовий індекс",""
"Prices","Ціни",""
"Prices and Stock","Ціни та залишки",""
"Prices and Stock Transport","Транспорт цін і залишків",""
"PrivatBank Bank Account belongs to a different company","Банківський рахунок ПриватБанку належить іншій компанії",""
"PrivatBank ERP Bank Account belongs to a different company","Банківський рахунок ERP для ПриватБанку належить іншій компанії",""
"PrivatBank Profile","Профіль ПриватБанку",""
"PrivatBank Profiles","Профілі ПриватБанку",""
"PrivatBank Settings","Налаштування ПриватБанку",""
"PrivatBank auto import days must be between 1 and 366","Кількість днів автоматичного імпорту ПриватБанку має бути від 1 до 366",""
"PrivatBank auto import requires Account, ERP Bank Account and Company","Для автоматичного імпорту ПриватБанку потрібні рахунок, банківський рахунок ERP і компанія",""
"PrivatBank auto-import days must be between 1 and 366","Кількість днів автоматичного імпорту ПриватБанку має бути від 1 до 366",""
"PrivatBank integration is disabled","Інтеграцію ПриватБанку вимкнено",""
"PrivatBank profile not found","Профіль ПриватБанку не знайдено",""
"PrivatBank profile requires Company and ERP Bank Account","Для профілю ПриватБанку потрібні компанія та банківський рахунок ERP",""
"PrivatBank profile {0}: auto import requires Account, Bank Account and Company","Профіль ПриватБанку {0}: для автоматичного імпорту потрібні рахунок, банківський рахунок і компанія",""
"PrivatBank statement range must be ordered and no longer than 366 days","Діапазон виписки ПриватБанку має бути впорядкованим і не довшим за 366 днів",""
"Private Files (MB)","Приватні файли (МБ)",""
"Proceed","Продовжити",""
"Process Import","Обробити імпорт",""
"Process Not Found","Процес не знайдено",""
"Processed","Оброблено",""
"Processed At","Час обробки",""
"Processed {0} order files","Оброблено файлів замовлень: {0}",""
"Processing Result","Результат обробки",""
"Processing ecommerce file","Обробка файла електронної комерції",""
"Profile Name","Назва профілю",""
"Profile is required","Потрібен профіль",""
"Profiles","Профілі",""
"Protocol","Протокол",""
"Protocol must be FTP, FTPS or SFTP","Протокол має бути FTP, FTPS або SFTP",""
"Public Files (MB)","Публічні файли (МБ)",""
"Push to Channel","Надсилати в канал",""
"Queue","Черга",""
"Queue Status","Стан черг",""
"Queues","Черги",""
"RZ Delivery Sender Profile","Профіль відправника Rozetka Delivery",""
"RZ Delivery Sender Profile is not installed; run bench migrate","Профіль відправника Rozetka Delivery не встановлено; виконайте bench migrate",""
"Raw Payload","Необроблені дані",""
"Realtime (SocketIO)","Реальний час (SocketIO)",""
"Recipient city/warehouse refs are required","Потрібні ідентифікатори міста та відділення одержувача",""
"Recipient first name and last name are required","Потрібні ім’я та прізвище одержувача",""
"Recipient phone must be a valid Ukrainian number","Телефон одержувача має бути коректним українським номером",""
"Records Failed","Записів з помилкою",""
"Records OK","Успішних записів",""
"Reference type and name must be provided together","Тип і назву посилання потрібно вказувати разом",""
"Registered Transform","Зареєстроване перетворення",""
"Remote Path","Віддалений шлях",""
"Request Payload","Дані запиту",""
"Request SHA-256","SHA-256 запиту",""
"Request Timeout (sec)","Тайм-аут запиту (с)",""
"Request Token","Токен запиту",""
"Required","Обов’язково",""
"Required for group mode API","Обов’язково для групового режиму API",""
"Reserve Days","Днів резервування",""
"Reserve Days must be between 1 and 365","Кількість днів резервування має бути в межах від 1 до 365",""
"Resolution must be failed, succeeded or reconciled","Результат має бути failed, succeeded або reconciled",""
"Response Payload","Дані відповіді",""
"Result","Результат",""
"Result URL","URL-адреса результату",""
"Root Element","Кореневий елемент",""
"Row Count","Кількість рядків",""
"Rozetka Delivery Sender Profiles","Профілі відправника Rozetka Delivery",""
"Rozetka Delivery content language must be uk, en or ru","Мова вмісту Rozetka Delivery має бути uk, en або ru",""
"Rozetka Delivery did not return a label","Rozetka Delivery не повернула етикетку",""
"Rozetka Delivery did not return a track status","Rozetka Delivery не повернула статус відправлення",""
"Rozetka Delivery fields are missing; run bench migrate first: {0}","Відсутні поля Rozetka Delivery; спочатку виконайте bench migrate: {0}",""
"Rozetka Delivery label is not a PDF","Етикетка Rozetka Delivery не є PDF-файлом",""
"Rozetka Delivery label is too large","Етикетка Rozetka Delivery завелика",""
"Rozetka Delivery returned an invalid base64 label","Rozetka Delivery повернула некоректну етикетку base64",""
